"gene_name","log2FoldChange","padj","cell_line","deg","delabel"
"PDPK1",0.125871726,0.514208781,"X9","none",NA
"SVIL",-0.379539113,0.132651985,"X9","none",NA
"SH3KBP1",-0.231838779,0.392500178,"X9","none",NA
"PVR",-0.194463326,0.503132898,"X9","none",NA
"SDCBP",0.09363192,0.602531514,"X9","none",NA
"CTTN",0.068258573,0.790888842,"X9","none",NA
"CASP8",-0.249447971,0.511445417,"X9","none",NA
"ITGA7",1.861379379,1.87e-14,"X9","upregulated","ITGA7"
"DLG5",-0.529453923,0.01602905,"X9","none",NA
"CAPZA1",0.113171811,0.659230845,"X9","none",NA
"ZFYVE21",0.220976591,0.292971451,"X9","none",NA
"DBN1",0.012121044,0.970357537,"X9","none",NA
"LASP1",-0.185105383,0.20464533,"X9","none",NA
"HRAS",0.585019494,0.000650979,"X9","upregulated","HRAS"
"MSN",-0.314292166,0.02014427,"X9","none",NA
"CORO2A",0.146496351,0.774515688,"X9","none",NA
"PLAUR",-0.009026222,0.992384912,"X9","none",NA
"PLCG1",-0.119145017,0.473157158,"X9","none",NA
"FERMT3",0.196068881,0.88898254,"X9","none",NA
"FLNA",-0.508018605,0.156507521,"X9","none",NA
"NRP2",0.503160387,0.404625487,"X9","none",NA
"PTPRM",-6.993128503,4.58e-14,"X9","downregulated","PTPRM"
