,N4_2,N4_3,N4_4,N7_2,N7_3,N7_4,N9_2,N9_3,N9_4
RRAGA,564,446,642,1132,877,1065,983,850,727
NDUFA7,446,331,559,989,707,962,1183,954,952
RAB11B-AS1,33,25,32,62,34,48,43,31,26
MIR4999,1,0,2,0,2,2,3,1,3
TRPM2,0,1,0,2,1,0,0,0,0
ZMAT2,1322,996,1638,1685,931,1603,1563,1285,1202
ADNP2,1318,1110,1427,2035,1691,1906,2021,1697,1437
NT5DC3,405,447,464,741,550,695,669,534,457
GGA2,1565,1439,1799,2279,2014,2316,2368,1961,1714
TTBK2,383,375,436,548,560,550,452,381,438
CLCN3,2478,2068,3069,2661,2176,2657,3966,3434,3211
ZNF559,0,0,1,0,1,0,0,0,2
TLR1,58,38,64,32,58,34,74,74,69
HSPB1,1,2,2,6,3,3,3,3,4
CRYGN,0,0,1,0,0,1,1,0,0
GTSF1,0,0,0,1,0,0,0,0,0
ZNF561-AS1,25,34,41,45,50,66,48,40,39
ZBTB42,79,88,98,257,286,252,249,255,199
ZNF812P,0,0,1,0,1,0,0,0,0
ZNF846,58,64,102,72,83,85,69,73,54
LOC100505555,16,6,12,3,1,1,4,6,5
CREBRF,59,45,68,68,62,71,61,40,42
SPG7,1753,1636,2133,2669,2314,2705,2262,1868,1723
STARD5,55,62,74,75,71,60,40,48,47
SNORD105,3,4,3,4,1,0,4,3,1
SNORD105B,11,6,17,20,14,35,26,13,14
CFAP157,0,1,2,4,5,4,5,7,4
SLIT2,3578,3460,4632,10818,11103,10694,8860,7800,6971
RAP2A,256,237,349,529,374,552,465,392,345
GDPD1,37,26,32,18,21,22,18,29,28
ILF3-DT,284,224,339,591,383,632,548,459,484
ZBTB32,1,1,1,0,0,0,0,0,0
WBP4,384,264,443,820,448,589,417,377,317
RPL14,7743,6009,9758,12618,7313,12109,12758,10374,9580
BTAF1,2554,2343,2959,3687,2654,3468,3618,3088,2734
MIR4748,1,3,5,4,6,1,2,1,1
MIR6793,0,0,2,1,2,1,2,1,1
TMED1,336,224,416,485,280,446,463,372,364
TRIM27,0,77,115,189,3,2,2,2,3
MYBL2,2051,1772,2580,3792,3241,4099,3815,3208,2856
TFAM,1480,1102,1809,1994,1072,1854,2206,1769,1631
MXD1,67,46,68,156,165,192,102,94,63
MARCKS,2886,2065,2535,12898,8461,11027,7463,6008,5471
TNFSF18,0,0,0,0,0,0,1,0,0
CITED2,177,101,119,164,110,114,171,145,88
SGSM2,672,729,799,848,777,820,735,719,537
CST1,0,0,0,1,0,1,0,0,0
CSNK2A2,655,653,688,1078,960,1088,973,764,759
PTGS2,4,9,10,11,15,17,9,6,6
TF,5,6,5,11,4,7,9,1,4
RNF157,188,206,230,244,224,231,158,166,153
LOC105372273,6,4,3,5,5,0,9,2,4
AGTPBP1,877,715,929,1595,1258,1567,1325,1200,1047
LRP1B,0,0,1,4,6,3,0,1,0
NTRK1,4,5,4,5,8,4,7,5,5
B3GALT1-AS1,0,1,1,1,0,0,0,0,0
MIR7974,2,6,1,2,1,4,2,2,0
FARS2,244,240,279,342,281,393,330,288,285
CD226,0,3,2,1,1,0,0,1,4
CTCF,1753,1571,2008,2449,1740,2298,2281,1938,1763
CXCR6,0,0,0,2,0,0,1,0,0
KLF1,0,0,0,2,1,1,2,2,0
HNRNPA1P10,508,333,535,640,304,520,565,431,433
ZNF833P,20,13,24,45,40,46,30,19,36
ZNF439,2,1,1,1,1,1,2,1,2
ZNF433-AS1,86,75,94,166,133,147,135,112,100
ZNF433,4,5,2,0,0,0,0,0,0
PNPO,724,557,775,1363,1060,1365,1433,1257,1171
ZNF625-ZNF20,11,6,17,15,14,15,12,10,13
SLC3A2,1536,1204,1774,2374,1503,2451,2605,2075,1912
LOC100289333,3,3,9,3,4,8,7,2,4
ZNF799,236,201,249,351,215,324,281,205,200
ADO,1162,927,1458,1098,726,1047,1152,1008,859
SCHIP1,0,6,0,2,0,3,1,2,0
FCSK,343,334,415,519,501,562,463,438,319
FAAP24,170,121,180,302,190,323,228,183,190
TICRR,857,1001,1016,1527,1791,1650,1311,1282,1096
PTH2,3,2,6,9,10,10,7,6,7
SAPCD2,1740,1448,2209,3477,2409,3214,3580,2960,2603
SLC4A4,36,54,79,47,30,33,7,4,4
SNORD135,7,3,5,7,2,8,5,7,2
SNORD41,3,3,1,3,6,6,5,1,3
CHCHD5,338,285,444,396,267,339,403,339,289
C20orf27,616,519,743,1270,926,1223,1176,1015,855
RASSF6,13,12,17,2,2,1,1,0,0
PAX9,153,102,47,29,32,24,32,26,24
PDE6C,0,0,0,0,0,0,1,1,0
NIPA1,1163,1027,1322,1714,1290,1656,1492,1367,1193
FARSA-AS1,0,1,0,0,0,0,2,1,0
AVEN,120,93,127,199,88,206,153,104,97
GPR84,174,329,570,0,0,1,0,0,0
FSCN3,3,1,0,0,3,5,0,3,0
UTP3,749,561,859,1184,699,1118,1128,876,849
FAXDC2,131,111,128,274,381,336,308,267,229
PTOV1,472,421,553,580,628,625,654,612,476
PIGW,2,13,2,2,1,1,13,0,11
CAPN13,49,31,26,287,371,327,282,280,240
NUP54,1275,984,1476,2396,1478,2186,2292,1857,1606
ALDH6A1,177,152,223,294,211,240,213,165,145
LOC284454,722,688,1069,628,497,645,387,294,292
PODNL1,6,9,7,144,189,149,24,10,10
MISP3,19,23,24,28,23,22,39,31,29
GPBP1L1,1452,1199,1816,2478,1866,2416,2172,1801,1834
C12orf10,600,529,737,1184,850,1093,1053,916,797
CAPRIN1,7932,7188,9081,12354,9403,12080,11510,9402,8354
LOC100507373,2,4,7,0,7,0,2,3,3
FGB,2,4,3,4,0,6,1,4,2
LINC01841,12,9,11,6,6,7,6,3,5
LINC01842,24,21,30,47,31,31,42,24,28
NUDT17,97,69,115,140,144,179,182,179,146
LINC01116,12,13,30,198,122,202,60,39,61
GPRIN1,444,380,535,826,624,712,717,628,580
CCDC102A,233,204,353,313,192,302,246,222,207
TECR,480,389,550,1049,1047,1060,849,769,680
CLEC17A,0,0,0,0,1,0,1,0,1
SNORA104,240,170,304,504,250,446,417,332,319
FNDC5,1,0,0,0,0,0,1,0,0
PIGC,1016,776,1188,1233,722,1231,1180,936,909
PRXL2C,324,249,399,671,364,630,734,596,511
CLCNKA,0,0,0,1,2,0,0,0,0
CHRNA5,315,249,370,487,280,389,401,332,319
TMOD2,238,224,296,740,552,682,1000,864,726
F11,1,0,1,0,0,0,3,0,0
ACADS,209,173,291,316,307,366,320,306,247
CYP4F24P,1,2,1,0,1,1,1,0,1
LINC00661,0,0,0,1,1,1,1,0,0
SEC31A,1185,985,1320,3182,2591,2992,2837,2395,2120
CCDC30,23,33,51,54,53,47,37,19,22
SEL1L2,0,0,0,1,0,0,0,0,0
CIB3,0,0,0,1,1,2,0,0,0
ENO1,39114,30609,42523,95553,62937,88559,74485,62134,54921
NOX5,0,0,0,0,1,0,2,0,1
MYOCD,0,0,0,2,1,2,0,0,0
SMYD5,454,417,619,863,734,848,953,842,746
BCL10,510,370,515,533,379,552,497,435,366
DECR1,683,556,893,795,591,830,1044,746,770
EXTL3,515,491,576,1057,915,1091,1019,918,799
SNORA118,0,0,1,4,2,5,3,1,2
SRPRA,833,735,787,1126,1164,1149,1215,1061,883
GUCD1,1359,1126,1681,2567,1810,2687,2575,1950,1849
PKD1L2,2,3,3,15,21,29,13,12,14
RGCC,3,5,5,12,4,4,15,11,9
MCTS1,640,496,771,1172,734,1138,1319,1092,1084
BISPR,119,122,182,18,18,11,67,60,63
CHRD,5,3,1,3,2,1,2,2,0
PPP1R2,829,629,940,1426,865,1281,1334,994,972
PTPN11,5396,4373,5969,9912,6867,9321,8343,6911,6203
DSC2,0,0,0,2,0,0,0,0,0
NOTCH2NLB,159,159,157,317,338,316,347,281,241
PRKCI,1053,816,1234,1809,1165,1714,1414,1134,1113
ZNF221,86,101,108,111,158,133,99,98,80
SNORA68,173,96,211,296,128,416,225,170,151
RCOR1,1220,1184,1399,2175,1778,2237,1946,1688,1531
WWTR1,1077,1030,989,2290,2027,2275,1844,1785,1515
RARRES2,3,1,0,0,0,1,5,2,5
LOC102725254,5,3,4,3,7,5,1,5,3
SETD1A,408,458,382,644,741,616,554,550,412
LOC729966,0,0,0,1,0,0,1,0,0
RPL39L,409,293,474,757,416,741,837,641,596
EPN2,280,272,330,411,451,445,414,399,324
MIR3189,0,1,3,0,0,0,0,0,0
KDELR1,1320,1030,1348,2091,1533,1944,1900,1610,1437
WFS1,315,328,385,599,621,573,510,454,394
PDC,1,0,1,0,0,0,0,0,0
CD5L,0,0,0,0,0,0,0,0,0
AGA,121,86,154,241,160,204,193,149,152
REX1BD,602,482,644,962,656,826,959,876,694
HOMER3,413,320,503,879,619,725,479,416,352
FAM200B,429,360,548,706,440,728,681,565,545
HOMER3-AS1,8,9,11,15,14,16,11,6,9
DHFR2,87,69,118,109,94,104,118,100,114
SHISA7,0,1,0,1,4,2,4,1,4
SHB,43,48,33,153,81,123,139,99,96
PMPCA,1600,1291,1840,2803,1990,3009,3245,2799,2374
FAM122C,88,67,130,90,82,88,89,74,94
NAF1,159,168,157,246,273,243,292,232,163
ZNF101,487,417,650,625,393,584,527,365,399
LINC00663,9,7,24,15,5,14,16,14,20
XKR5,56,50,73,106,140,97,72,56,67
IGFBP7,0,0,0,0,0,0,0,0,0
ZNF626,49,17,12,328,242,340,412,352,326
PDZD7,19,15,27,94,95,93,129,124,104
ZNF714,734,589,831,974,663,967,1259,970,973
SUCLG1,1295,1022,1613,2341,1591,2387,2654,2236,2040
ATP1A4,0,0,0,0,0,0,1,0,0
SCYL3,306,297,374,524,425,452,404,371,316
ZNF70,211,212,328,444,554,469,328,264,271
GYG1,1346,1152,1432,2214,1648,2117,1682,1266,1211
SAMD14,1,0,3,1,4,1,1,2,2
TUBA1C,6313,5093,8271,14178,8493,14469,12273,10479,9390
LYPLA2,674,562,823,1237,1012,1237,1498,1386,1103
PPP1R14C,45,24,53,9,1,4,13,16,13
IPO5P1,442,377,613,634,527,660,709,492,577
LINC01224,97,92,128,171,155,174,161,102,113
LOC101927151,243,229,269,304,228,361,331,230,230
LOC284395,1,0,0,0,0,0,0,0,0
CRYBG3,1203,1122,1458,2144,1550,2048,1837,1421,1425
TGFBI,0,0,0,0,0,0,0,0,0
SNX5,1778,1499,2085,2529,1654,2356,2321,1808,1615
COL6A4P1,1,0,3,0,1,1,1,1,1
OR9A4,0,0,1,0,0,0,0,0,0
LOC400684,22,30,34,70,47,76,57,41,44
TSC22D1,5138,5097,5918,9271,8913,9326,4903,4039,3694
ALKBH1,274,242,344,414,276,394,387,391,358
PCNX1,1506,1665,1748,2515,2402,2515,2647,2227,1929
MTMR3,775,736,921,867,827,781,862,777,635
SNORA68B,3,3,2,8,9,3,4,3,1
FAM131A,313,268,419,507,388,533,550,553,394
SLC29A4,110,126,139,97,115,86,82,70,78
SNRPD2,3178,2154,3566,4471,2645,4362,5190,4538,4018
NSFL1C,1103,944,1296,1834,1465,1730,1680,1491,1289
GPATCH1,242,225,288,382,287,365,351,294,270
CLDN23,150,111,170,182,109,136,108,88,93
DNAJC21,792,660,948,1514,930,1465,1376,1069,1000
SPATA24,31,31,40,70,46,65,67,68,50
IHH,5,2,5,2,4,5,5,3,2
IGHMBP2,222,228,284,342,331,404,327,340,302
SCGB1B2P,35,38,30,47,46,35,46,48,38
RAB6A,1009,813,1168,1925,1453,1807,1245,1036,1062
NRXN2,1,3,2,4,0,2,0,1,3
LINC01801,0,0,0,0,0,0,0,0,0
LINC00904,0,0,1,0,0,1,0,0,0
ZNF30-AS1,7,1,4,2,4,8,11,4,9
ZSCAN9,259,264,326,276,242,382,399,295,300
GALNT4,21,19,35,20,10,32,28,21,26
IL15,22,23,24,38,27,41,43,25,30
CNGA4,2,0,3,6,3,4,1,2,1
NXF3,0,0,1,0,0,0,1,0,0
MTF2,1236,992,1467,1452,1011,1453,1572,1258,1186
APLF,139,112,140,92,73,112,118,113,108
LINC01531,0,1,0,0,0,0,0,0,2
ASB9,1,0,1,0,0,0,2,1,0
OSBPL3,758,746,842,1033,718,936,944,788,725
GLRX3,2008,1456,2246,3050,1762,2887,2949,2560,2199
TIMM21,337,257,409,576,335,568,616,507,475
SQOR,589,515,910,614,562,587,545,468,425
TMEM147-AS1,146,139,174,234,150,269,224,196,180
CD82,65,43,57,101,50,75,50,37,29
JUN,74,63,118,64,54,67,35,55,56
UPK1A-AS1,6,11,19,11,7,7,9,11,7
RHBDD3,444,340,602,761,545,754,674,621,561
TMEM184B,634,623,791,1363,1335,1547,1064,1002,831
SRD5A2,0,0,0,0,0,0,0,0,1
SOX9,82,77,87,3,4,4,0,1,4
RBM15,1549,1485,1865,2322,1976,2267,2237,1871,1717
WBP2,277,220,314,277,369,363,333,353,342
WBP1,45,22,51,63,32,52,54,53,44
LINC01529,1,0,0,0,1,0,0,0,0
ARHGAP19,851,653,949,1021,681,950,1219,990,896
PNMA6A,64,47,83,40,37,30,61,80,52
RRP1B,2104,1862,2394,3426,2456,3402,3603,3255,2694
SWAP70,1471,1395,1814,1055,768,877,688,512,499
RASGEF1C,21,31,39,36,31,45,26,26,29
LOC105372383,4,2,5,4,1,4,3,3,5
AKAP8L,868,744,980,1154,1008,1146,1181,1077,885
HLA-DRA,0,0,0,0,0,0,1,2,0
MEI1,2,2,1,0,3,3,4,2,1
ABLIM2,30,24,37,53,32,49,29,30,29
ZNF34,62,79,85,164,119,152,220,156,138
ZNF565,55,55,88,83,63,85,103,69,70
LOC100134317,0,1,2,0,2,0,1,0,1
LINC00665,24,10,7,102,106,156,165,157,132
WASL,664,618,706,925,753,918,893,786,709
ANXA2,6671,4843,7855,14979,8389,13041,10919,8041,7989
LOC644189,0,0,0,0,0,0,0,0,0
SULT2B1,1,2,2,4,5,7,6,7,4
SLC9A5,97,70,120,121,93,96,152,134,139
LOC728752,19,19,38,34,31,39,25,26,31
DUOX1,1,0,0,1,1,1,1,2,1
MSRB2,129,100,159,175,158,166,202,147,159
CNNM3,467,386,500,341,316,357,356,302,258
ZNF529-AS1,41,55,73,58,74,63,63,60,44
GLUD2,7,2,8,6,9,6,4,6,3
FRAT2,137,103,153,294,150,220,277,219,189
ELL2,152,117,144,146,87,138,139,114,95
LINC01534,61,48,63,80,77,94,79,95,88
ZNF790,225,201,289,238,192,297,241,242,227
ZNF345,94,61,120,66,72,71,76,49,50
NOD2,1,0,1,2,0,0,2,0,1
ANKRD22,3,1,4,6,7,15,5,3,3
LOC104968399,13,5,16,16,12,19,20,8,17
CPSF7,1231,1148,1339,1919,1493,1792,1883,1612,1363
VLDLR,59,43,88,93,246,110,28,18,19
TMEM132A,702,725,858,1367,1167,1328,1027,1062,786
LINC01410,21,18,32,28,21,26,24,30,29
LINC01391,32,13,17,25,26,26,31,26,14
IQCJ-SCHIP1-AS1,0,0,0,1,1,0,0,0,0
ACTA2-AS1,4,6,4,17,15,13,9,9,9
IRAIN,0,0,0,0,0,0,0,0,0
ERRFI1,18536,15300,22707,17684,11440,15682,27660,25027,21377
ZNF793-AS1,0,1,0,13,3,7,12,8,11
FRG2,0,0,0,0,0,0,0,0,0
ZNF571-AS1,3,2,1,3,7,8,8,6,2
STK38,571,432,638,1093,907,1175,1161,813,898
FEZ1,6,3,4,4,3,2,3,1,0
ZNF573,165,164,216,202,142,232,252,217,226
SNORD152,0,1,0,2,1,1,0,0,0
NEMP2,306,326,393,268,242,255,285,230,189
DPF1,87,79,108,74,61,66,106,106,92
DNM2,1308,1131,1512,2243,2162,2344,1998,1782,1539
TUBB4B,7509,6375,9389,12469,9038,12124,10754,9290,7985
TRIM66,107,105,98,102,178,97,103,111,96
ANXA5,3009,2294,3659,5501,3411,5258,4591,4116,3838
SOCS4,1284,1012,1482,1661,1118,1517,1773,1465,1419
GPR62,0,2,1,6,1,2,2,1,2
GPR37,1,1,0,0,1,1,0,0,0
UBR5,3017,2693,3383,4067,3738,4165,4165,3511,3133
KRT86,0,0,2,0,0,0,0,0,1
SLC6A1,1,0,0,0,2,0,0,0,0
CYGB,1,2,3,11,8,16,12,7,2
PAQR8,103,94,126,151,123,143,107,79,96
USP6,0,2,0,0,0,0,1,2,1
DDX60L,396,332,468,545,441,516,592,444,440
MSL1,1820,1621,1937,2335,1892,2399,2108,1679,1572
MED17,858,735,1019,1224,701,1217,1169,1002,927
GPR157,275,242,318,684,487,807,693,600,487
CFAP97,3547,2804,4485,5883,3664,5843,5861,4786,4477
SLC35E2B,460,429,522,874,829,929,769,654,622
PTGER1,5,1,2,9,11,7,6,1,2
SSTR5,14,10,13,161,130,106,150,91,96
SUZ12,1733,1635,1906,2558,2491,2539,2590,2076,1832
GALC,67,26,17,342,227,320,373,285,267
SNORD175,10,3,6,12,5,8,5,4,4
HMGCR,1463,1102,1657,3275,2288,3354,2452,1872,1904
LGALS17A,5,2,3,13,20,15,4,0,3
MIR6719,1,2,6,5,3,3,1,2,4
SNX21,454,375,570,625,534,598,545,462,485
SNX9,782,711,948,1305,1020,1365,1144,1112,908
KIAA0319L,416,435,527,832,624,877,931,703,722
PPP1R14B,983,852,1182,1899,1316,1713,1714,1454,1180
SPDYE1,0,0,0,0,0,1,0,0,1
LAGE3,554,445,660,855,637,826,932,836,639
MC5R,0,0,0,0,0,0,2,1,0
CLPP,482,406,617,804,627,734,845,705,676
MAT2A,4667,4368,5185,9372,7177,10154,7483,7240,6264
KIAA1841,183,157,246,528,448,530,394,286,311
MIR6796,1,0,4,1,1,3,0,3,2
STAT5A,1,1,0,6,7,6,11,8,6
PDZRN4,1,0,3,1,0,0,0,0,0
SOX12,523,482,595,586,608,506,519,459,396
SOCS2,421,357,561,383,199,312,652,541,459
TMEM11,470,364,575,727,405,650,687,704,576
GMPS,4597,3979,5282,6869,4759,6389,6472,5242,4826
C22orf24,2,4,3,5,4,9,5,7,1
IGFBP4,1,0,4,11,4,11,2,8,1
NME3,594,459,677,760,425,695,750,675,545
TNK2,471,444,544,924,1019,1016,774,817,655
INHA,2,3,1,21,27,15,17,13,13
RAB4B-EGLN2,0,1,0,0,0,0,0,2,0
ACOT11,134,90,141,185,194,218,226,171,161
CYP2T1P,27,27,32,49,30,33,37,23,28
CYP2G1P,0,0,0,3,3,2,3,1,1
CYP2B7P,0,1,0,0,0,2,0,0,1
NSDHL,221,189,261,523,358,504,341,300,291
LIMA1,510,460,613,637,534,602,763,647,600
SMARCD1,810,733,872,1295,1212,1173,1076,1032,855
CD79A,2,0,1,4,1,2,4,0,2
TSR3,347,303,436,672,442,597,756,583,488
ANGPTL5,0,0,0,1,0,0,1,0,1
IDH3B,1795,1425,2072,3353,2187,3066,3564,3217,2769
ACADL,0,0,0,1,0,0,0,0,0
ACSL3,1958,1578,2380,4799,3362,4700,3662,2700,2638
ZDHHC9,139,93,113,403,346,363,415,326,347
RTEL1,21,19,19,49,52,50,60,43,37
MYOM3,1,0,1,1,2,1,7,0,0
LOC100505585,2,1,2,1,5,1,1,0,1
ZNF416,219,175,280,352,274,321,316,209,190
CAP2,1394,1168,1647,2551,1694,2242,1767,1317,1434
SLC35F6,368,370,487,887,684,931,787,590,611
RPL13A,19865,14634,23750,28326,18921,26559,27970,23357,21044
THG1L,469,333,519,666,347,635,686,451,525
PHKA2,535,523,559,825,832,924,796,745,608
TRIM7,65,81,89,72,56,55,44,33,33
F12,142,94,165,280,197,263,373,386,304
ZNF263,618,532,823,1102,795,1177,1027,902,809
LOC101930071,44,32,58,37,19,38,30,42,36
LIPE-AS1,67,72,77,54,96,73,57,48,46
HEXD,135,134,192,269,253,287,231,235,188
MMACHC,254,232,354,350,278,444,544,487,461
PSG8-AS1,1,3,4,0,4,2,0,1,0
FANCA,1692,1774,1890,2213,2307,2509,2261,2089,1658
FABP2,0,0,0,0,0,0,0,0,0
F8,79,55,88,168,145,185,128,112,117
PTCH1,20,18,21,145,173,142,145,130,93
ZNF576,147,134,173,262,161,227,223,207,211
RMI2,239,200,282,353,284,310,329,310,320
TRMT61A,416,348,512,730,423,704,731,636,561
RWDD2B,310,225,376,681,475,681,657,579,555
LOC100505715,1,0,0,0,0,1,0,0,0
BPGM,150,118,217,59,64,63,201,169,137
LOC101928063,8,6,18,6,5,7,6,6,7
RIPOR1,270,393,203,519,1081,565,414,424,329
LOC100379224,2,6,8,5,1,4,4,1,5
C1QTNF9B,1,0,0,0,0,0,0,0,0
EPS15,929,930,1165,1885,1476,1894,1577,1299,1229
RNF145,1178,985,1287,1720,1598,1754,1646,1376,1272
ZNF227,613,566,762,635,453,620,648,528,546
ZNF233,81,58,112,67,82,104,105,103,91
PNPLA3,95,71,77,179,173,245,68,50,68
MIR8085,4,3,2,1,0,4,2,2,2
ACTN2,54,56,59,106,100,114,89,76,68
ARHGEF6,36,41,31,241,170,134,92,80,78
BTN3A1,152,139,181,172,204,219,166,134,144
APOC1P1,2,3,9,2,2,3,1,1,1
TMPRSS6,0,0,0,3,2,0,0,1,1
GEMIN7-AS1,6,5,3,6,8,10,7,1,4
MCCC2,909,745,937,1684,1407,1757,1684,1417,1275
CSAG3,0,0,0,1,1,1,1,0,1
SLC6A15,0,0,0,0,0,0,0,0,0
COX16,96,66,108,192,85,168,215,144,128
TFPI2,2,0,3,0,0,0,1,0,0
ATN1,319,599,226,316,1064,335,282,294,194
OSBP,623,596,706,979,1064,1042,990,811,718
BAIAP2L1,675,555,793,906,772,861,923,840,672
KRT8,143,113,158,669,779,733,705,647,611
MORC2,640,569,704,874,872,922,792,636,646
EML2-AS1,1,3,4,18,11,18,36,24,21
CNPPD1,846,656,1024,808,594,949,894,714,656
DM1-AS,2,6,2,3,1,2,4,2,5
LRCOL1,0,0,0,0,0,0,0,0,0
DNAJC7,1713,1220,1878,2489,1681,2384,2570,2078,1827
SEMA3C,2819,2323,3543,3634,1830,2853,1377,1154,957
LOC93429,0,0,0,1,0,1,0,0,0
NOL4L,110,108,125,283,558,438,435,408,354
UPF2,1048,1013,1292,1165,920,1246,1146,930,852
PNMA8A,0,0,0,2,2,0,1,1,0
SURF6,714,567,755,1149,721,1116,1269,1049,908
DACT3-AS1,0,2,1,0,1,0,2,1,0
LRP5L,186,197,210,302,356,430,322,331,292
PRDX4,957,651,1068,2294,1477,2352,2257,1803,1605
ZNRD2,517,415,632,765,457,831,1039,904,807
ARMC10,301,257,271,344,253,380,403,301,319
DES,0,0,1,0,1,0,0,0,1
SNAR-E,0,0,0,0,0,0,0,0,0
H4C3,4936,3533,5961,8628,3842,7479,7613,6161,5143
CENPA,341,281,433,630,410,585,555,453,409
ZSCAN10,5,0,3,12,15,16,5,7,5
MIR3190,2,1,1,6,4,1,1,2,1
MIR3191,4,4,7,11,5,8,7,2,6
MYO6,832,946,806,1123,1455,1218,980,844,807
NAPA-AS1,12,8,21,10,10,11,12,10,12
SNHG3,1329,933,1603,1721,966,1725,1802,1582,1477
OGDH,627,597,770,1251,1295,1401,1193,1024,905
CCDC61,37,36,44,39,38,51,41,34,33
SNORD23,27,26,46,38,25,39,27,21,22
NOP53-AS1,0,0,0,0,0,0,1,0,1
NBPF11,273,292,366,482,384,486,371,298,254
SNAR-C3,0,1,0,0,0,0,0,0,0
PNMA2,8,17,28,6,7,5,0,0,1
H3-4,0,0,0,9,4,3,0,0,0
RFX8,0,0,2,0,0,0,3,1,2
APOBEC3B,817,716,982,894,756,932,1194,1060,910
COX11,1075,882,1338,1842,1124,1694,2087,1731,1564
WDYHV1,184,183,229,319,200,290,293,197,218
LTA4H,939,763,1099,1429,1167,1443,1432,1222,1086
RUNDC1,353,349,467,608,508,667,617,514,476
DTL,2409,1991,2600,3165,2289,2814,3555,2763,2521
CHD8,2067,1951,2330,2324,2363,2505,2230,2018,1816
CARD8-AS1,11,7,13,21,16,23,25,25,17
EAF1,637,481,752,904,680,1064,852,708,681
SLC25A20,132,94,162,202,160,212,276,252,224
PDX1,7,9,3,6,12,8,7,9,8
ZNF28,361,284,463,544,359,541,448,304,327
SEC1P,4,0,4,1,3,2,2,0,2
AMBN,1,0,0,0,0,0,0,0,0
VPS54,655,566,785,1070,720,1000,1063,828,833
LOC105447645,6,9,10,21,22,16,18,7,10
MAMSTR,405,388,489,368,448,335,316,293,217
ZNF484,548,542,632,519,433,491,447,383,399
MARVELD1,817,660,917,1408,1099,1569,1331,1023,970
MARK3,1384,1125,1626,1923,1337,1864,1768,1497,1387
NUCB1-AS1,0,1,0,1,0,0,0,0,0
PPM1K,14,13,34,149,108,164,252,202,191
NTF3,0,0,0,0,0,0,0,0,0
SNAR-G1,0,1,1,3,4,1,1,2,6
ZNF554,138,91,123,252,227,288,225,229,188
IDH3G,485,417,535,830,700,740,878,831,633
SLC33A1,507,399,640,1308,864,1239,874,784,705
DDX21,7134,5480,8223,11595,6510,10994,11438,9337,8453
ALLC,0,0,1,0,0,0,0,1,0
TAC1,0,0,0,0,0,0,0,0,0
PI4K2A,283,215,362,599,493,558,466,416,366
UBE2T,941,735,1205,1854,1124,1776,2051,1755,1450
MIR4324,5,1,3,2,5,7,4,1,2
FHAD1-AS1,1,0,0,0,0,1,0,0,0
VSX2,1,1,0,0,1,0,0,0,1
LOC101928295,0,0,0,1,0,0,0,0,0
PRRC1,1121,1050,1317,1679,1454,1504,1363,1082,944
SNORD32A,77,76,101,118,64,119,114,90,64
SNORD33,14,13,14,17,14,22,21,13,8
SNORD34,19,13,12,19,17,23,28,22,15
SNORD35A,136,100,172,203,93,199,168,158,115
SNORD35B,50,32,58,52,47,87,70,45,39
ZDHHC14,63,68,75,122,79,107,115,83,78
SAMD11,198,113,161,734,478,542,464,282,289
ODF1,0,0,0,0,0,0,0,0,0
NOTCH2,2866,2877,3498,4955,4571,5040,4647,4092,3553
PTGES2,1229,1049,1466,1773,1387,1848,1888,1610,1390
MIR5088,1,1,0,0,1,0,1,0,0
ZSCAN23,50,54,66,75,93,76,73,45,55
GALNT16,15,25,15,14,21,30,2,5,4
MIR6799,1,1,0,0,1,1,0,0,0
SLC41A3,162,119,147,432,425,489,362,311,294
ARL2,138,128,166,349,273,317,263,267,221
PTOV1-AS1,2,6,6,8,5,11,7,8,9
LZTS3,72,44,65,109,102,118,84,72,65
PTOV1-AS2,198,170,157,187,205,222,165,172,109
MIR4750,1,1,0,0,0,1,1,0,0
ZNF324,209,190,260,343,308,388,395,346,313
SMYD4,443,439,634,810,642,854,670,543,564
SCYL1,889,745,1115,1443,1271,1484,1553,1349,1079
LOC400710,8,10,11,19,12,20,14,14,14
SNAR-D,1,4,2,1,0,0,0,1,3
GLS2,333,280,465,297,278,371,337,323,296
PTCD3,2780,2201,3298,4119,2689,4018,4216,3396,3209
MBTPS1,2505,2031,2933,3591,2693,3752,2944,2489,2324
NAPSB,0,0,0,0,0,2,0,0,0
ANOS1,7,6,9,4,4,15,0,0,0
SLC2A12,65,56,79,168,76,155,29,29,31
NXPE4,0,0,0,0,0,0,0,0,0
SNAR-F,23,14,27,20,9,35,24,22,19
SLC7A5,1326,1157,1532,2328,2029,2682,2377,2400,2095
ACOX3,188,177,279,295,267,350,297,238,220
PRAF2,65,66,62,105,131,110,87,79,79
LOC105372440,6,5,4,5,4,5,3,2,4
CKLF,378,248,436,485,270,529,600,504,418
RNGTT,751,668,821,1062,711,1013,981,748,723
SNORD88B,63,50,62,89,55,97,82,85,68
SNORD88A,19,17,26,33,12,38,29,19,22
SNORD88C,23,15,19,40,15,25,50,28,14
LINC01869,1,2,7,1,4,3,3,5,3
KLKP1,0,0,1,0,0,0,1,0,0
FSD1,121,94,113,306,254,233,234,222,165
APIP,323,237,307,506,303,456,493,403,340
C1orf198,746,668,894,1040,784,1047,790,611,609
ZC3H4,1184,1086,1353,1419,1617,1626,1548,1427,1240
FSTL3,307,229,346,510,397,421,271,238,174
TROAP,717,613,828,1241,985,1257,1139,1033,851
