"RNAss","XIST","sample_type","bin_XIST"
0.0732784772261721,5.2913457003964,"Normal Tissue",NA
0.0733513853928236,6.69906572936909,"Normal Tissue","High XIST"
0.073677786995849,6.12041415275892,"Normal Tissue",NA
0.0739457779308704,5.67047213886299,"Normal Tissue",NA
0.07409497,7.6225,"Primary Tumor","High XIST"
0.0742325292571763,4.48097595252952,"Normal Tissue","Low XIST"
0.074282075802148,6.57487352490732,"Normal Tissue","High XIST"
0.0742925850182222,6.11937692912059,"Normal Tissue",NA
0.0744010504861705,6.79572799199721,"Normal Tissue","High XIST"
0.0744879563868018,6.70460917973331,"Normal Tissue","High XIST"
0.0745241064684457,5.11149043045687,"Normal Tissue",NA
0.0745355078750699,6.5455205453685,"Normal Tissue","High XIST"
0.0746187085372496,7.44129257279522,"Normal Tissue","High XIST"
0.0747226879136851,5.96488376196426,"Normal Tissue",NA
0.0747557638743366,6.45780767307555,"Normal Tissue","High XIST"
0.0748876376549655,7.15786227201281,"Normal Tissue","High XIST"
0.0752332651844855,6.19477654978325,"Normal Tissue",NA
0.075237860371181,6.51066132649769,"Normal Tissue","High XIST"
0.0752389596909203,5.38270183274866,"Normal Tissue",NA
0.07546537375787,5.99143114333981,"Normal Tissue",NA
0.0755358301048268,5.66080885114625,"Normal Tissue",NA
0.075552587199121,6.0800393548006,"Normal Tissue",NA
0.0757703172864919,5.45519568655561,"Normal Tissue",NA
0.0758167271902225,6.14284226139349,"Normal Tissue",NA
0.0758622477983813,7.32013262614153,"Normal Tissue","High XIST"
0.0761656422007357,6.47364081673581,"Normal Tissue","High XIST"
0.0761715535751661,6.45944801280598,"Normal Tissue","High XIST"
0.07621363,6.9582,"Primary Tumor",NA
0.0762601290023848,6.94721027542247,"Normal Tissue","High XIST"
0.0765701023740566,6.01437761172524,"Normal Tissue",NA
0.0767302268987546,6.15847841340201,"Normal Tissue",NA
0.0768141492356584,5.7876675311014,"Normal Tissue",NA
0.0768229817087916,6.48431539517081,"Normal Tissue","High XIST"
0.0769417526295772,7.04549757755235,"Normal Tissue","High XIST"
0.0770743618788274,7.32733706575915,"Normal Tissue","High XIST"
0.0770750086169665,7.79507207834531,"Normal Tissue","High XIST"
0.077183305908636,6.91170356433953,"Normal Tissue","High XIST"
0.0772347665544044,5.95631226194267,"Normal Tissue",NA
0.0773436325128395,7.15786227201281,"Normal Tissue","High XIST"
0.0774793899208181,6.16372011102029,"Normal Tissue",NA
0.0775223176815797,6.5298365600269,"Normal Tissue","High XIST"
0.0776182334617358,7.02459671884279,"Normal Tissue","High XIST"
0.0776644081421158,6.83921638799861,"Normal Tissue","High XIST"
0.0777337306977653,7.1799190396016,"Normal Tissue","High XIST"
0.0777517114840393,6.38268454285046,"Normal Tissue",NA
0.0782101880397786,6.79052444431085,"Normal Tissue","High XIST"
0.0783034663886759,5.76979818136491,"Normal Tissue",NA
0.0783195340975539,6.64962982846437,"Normal Tissue","High XIST"
0.078579844929581,7.08535029299308,"Normal Tissue","High XIST"
0.0786718291450184,6.0736274612777,"Normal Tissue",NA
0.0787704930409706,6.57638608524223,"Normal Tissue","High XIST"
0.0788693845394491,5.51099355697962,"Normal Tissue",NA
0.0789183605735453,7.72042212554939,"Normal Tissue","High XIST"
0.0789955425258702,6.19635130814008,"Normal Tissue",NA
